date,open,high,low,close,volume
2015-08-13,3869.911,3955.789,3838.159,3954.556,43007331200
2015-08-14,3976.405,4000.684,3939.835,3965.335,46798822400
2015-08-17,3947.844,3994.537,3907.399,3993.668,46043206400
2015-08-18,3999.134,4006.337,3743.394,3748.164,54377081600
2015-08-19,3646.803,3811.427,3558.383,3794.109,47539622400
2015-08-20,3754.567,3788.005,3663.607,3664.291,39006307200
2015-08-21,3609.959,3652.837,3490.54,3507.744,36992048000
2015-08-24,3373.478,3388.364,3191.879,3209.905,33467180800
2015-08-25,3004.126,3123.034,2947.944,2964.967,35232512000
2015-08-26,2980.794,3092.041,2850.714,2927.288,46669964800
2015-08-27,2978.03,3085.422,2906.49,3083.591,40030838400
2015-08-28,3125.264,3235.839,3102.945,3232.35,44313692800
2015-08-31,3203.559,3207.862,3109.163,3205.986,39743139200
2015-09-01,3157.832,3180.331,3053.738,3166.624,43243248000
2015-09-02,3027.678,3194.485,3019.087,3160.167,43817014400
2015-09-07,3149.38,3217.579,3066.304,3080.42,29646812800
2015-09-08,3054.444,3174.709,3011.117,3170.452,25541547200
2015-09-09,3182.552,3256.743,3165.696,3243.089,37532796800
2015-09-10,3190.553,3243.281,3178.904,3197.893,27326176000
2015-09-11,3189.479,3223.762,3163.449,3200.234,22455782400
2015-09-14,3221.165,3229.482,3049.23,3114.798,34663116800
2015-09-15,3043.805,3081.703,2983.92,3005.172,24919444800
2015-09-16,2998.036,3182.934,2983.535,3152.263,27752451200
2015-09-17,3131.982,3204.702,3085.314,3086.061,31760288000
2015-09-18,3100.28,3122.048,3070.336,3097.917,20917539200
2015-09-21,3072.094,3159.883,3060.856,3156.54,23989736000
2015-09-22,3161.318,3213.476,3152.481,3185.619,27478614400
2015-09-23,3137.723,3164.041,3104.744,3115.888,23632267200
2015-09-24,3126.491,3151.165,3109.691,3142.687,21288772800
2015-09-25,3130.851,3149.948,3062.995,3092.347,23626387200
2015-09-28,3085.567,3103.069,3042.31,3100.756,15672753600
2015-09-29,3055.218,3068.298,3021.157,3038.137,16322267200
