date,open,high,low,close,volume
2015-08-13,2498.41,2573.454,2496.967,2572.883,2094284000
2015-08-14,2587.928,2594.408,2550.479,2563.612,2083474800
2015-08-17,2570.448,2662.44,2544.566,2661.562,2766634800
2015-08-18,2655.645,2656.442,2464.868,2467.886,2683967200
2015-08-19,2409.972,2521.142,2363.938,2503.309,1898790400
2015-08-20,2474.773,2489.435,2405.114,2411.182,1327184900
2015-08-21,2374.335,2409.378,2287.255,2295.903,1628674600
2015-08-24,2219.813,2224.242,2125.01,2129.813,1478914200
2015-08-25,2015.381,2101.694,2003.621,2015.201,1876278400
2015-08-26,2022.034,2081.245,1946.693,1966.528,2128382200
2015-08-27,1996.148,2045.327,1942.661,2043.487,1681579200
2015-08-28,2067.854,2141.708,2046.241,2139.89,2088246000
2015-08-31,2115.29,2144.071,2073.714,2142.977,1879655200
2015-09-01,2106.323,2118.073,2023.971,2103.525,2026797800
2015-09-02,2030.553,2136.618,2023.282,2117.06,2299732400
2015-09-07,2115.387,2174.142,2059.375,2069.957,1422378700
2015-09-08,2063.689,2130.9,2031.414,2125.011,1003077600
2015-09-09,2136.241,2178.079,2127.851,2161.456,1619894800
2015-09-10,2131.804,2161.428,2118.614,2125.914,992672500
2015-09-11,2126.136,2143.942,2105.056,2133.98,822831800
2015-09-14,2151.79,2156.325,2028.525,2086.53,1499537600
2015-09-15,2036.149,2070.506,1997.496,2006.393,1070282900
2015-09-16,2009.4,2126.459,2000.264,2107.402,1159119600
2015-09-17,2095.207,2125.306,2050.08,2050.994,1234384400
2015-09-18,2064.789,2074.878,2037.35,2057.283,789694800
2015-09-21,2048.181,2101.061,2040.095,2097.662,862324000
2015-09-22,2098.067,2140.975,2088.297,2118.874,1121647100
2015-09-23,2087.104,2099.554,2066.586,2070.052,874001800
2015-09-24,2082.883,2102.083,2075.047,2090.683,737911700
2015-09-25,2085.444,2095.387,2038.671,2053.276,778928500
2015-09-28,2057.473,2069.859,2032.534,2065.942,560145500
2015-09-29,2042.219,2048.092,2020.187,2027.54,540916700
2015-09-30,2035.91,2049.308,2021.835,2034.948,474682600
2015-10-08,2081.78,2095.451,2069.064,2080.074,841643000
2015-10-09,2078.256,2106.67,2072.296,2096.235,900881500
2015-10-12,2100.818,2176.52,2100.097,2153.75,1664639400
2015-10-13,2143.878,2180.52,2139.57,2178.466,1365688500
2015-10-14,2166.227,2172.691,2146.517,2148.066,1183966800
2015-10-15,2142.449,2191.277,2139.358,2190.966,1199145900
2015-10-16,2210.193,2244.748,2201.555,2238.534,1800893200
2015-10-19,2241.127,2258.169,2211.557,2233.655,1701904800
2015-10-20,2232.596,2253.478,2213.057,2252.286,1324788600
2015-10-21,2259.369,2263.87,2136.541,2160.718,1783450800
2015-10-22,2170.903,2230.567,2169.329,2229.728,1567801900
2015-10-23,2227.797,2247.341,2206.633,2239.765,1589702300
2015-10-26,2254.636,2257.064,2223.243,2241.54,1574856200
2015-10-27,2233.446,2241.919,2184.761,2236.533,1280366000
2015-10-28,2233.757,2250.9,2201.75,2206.187,1158492600
2015-10-29,2210.911,2229.691,2200.377,2219.478,922621500
2015-10-30,2215.959,2225.156,2192.165,2213.994,861622100
2015-11-02,2195.593,2221.102,2184.087,2188.482,876269700
2015-11-03,2192.52,2198.339,2169.136,2177.71,631955700
2015-11-04,2177.894,2239.875,2177.894,2239.577,1195668100
2015-11-05,2235.785,2331.915,2231.8,2281.371,2565483200
2015-11-06,2268.468,2301.802,2264.25,2301.34,1687854800
