date,open,high,low,close,volume
2015-08-13,3117.583,3208.308,3086.928,3207.763,3905849600
2015-08-14,3218.309,3253.363,3181.602,3195.092,4223494000
2015-08-17,3186.049,3241.516,3158.733,3240.161,3563214400
2015-08-18,3243.007,3245.951,2998.468,2999.863,4695069600
2015-08-19,2902.08,3038.604,2806.877,3023.163,3702720800
2015-08-20,2990.672,3058.647,2949.585,2950.305,3447463600
2015-08-21,2919.79,2959.045,2804.003,2820.913,3222121000
2015-08-24,2701.765,2729.173,2573.238,2585.728,3340755200
2015-08-25,2392.095,2468.157,2356.145,2356.145,3017396400
2015-08-26,2357.745,2419.491,2210.278,2252.105,3738760000
2015-08-27,2289.376,2338.479,2203.803,2337.152,2829854000
2015-08-28,2386.884,2484.226,2368.541,2483.311,3331816400
2015-08-31,2464.219,2464.219,2377.028,2458.979,2876986000
2015-09-01,2435.188,2472.8,2350.934,2464.822,3710295200
2015-09-02,2351.931,2469.052,2339.073,2408.104,3029782400
2015-09-07,2415.775,2487.636,2376.189,2385.885,2100222400
2015-09-08,2368.662,2448.252,2327.958,2442.197,1709898800
2015-09-09,2454.539,2520.452,2440.928,2519.282,2785264800
2015-09-10,2470.618,2506.6,2450.587,2459.167,1896215200
2015-09-11,2455.363,2477.957,2419.254,2446.38,1297492200
2015-09-14,2459.035,2467.561,2271.784,2353.787,2397846800
2015-09-15,2295.063,2334.174,2217.69,2239.275,1756887800
2015-09-16,2239.493,2404.403,2229.636,2381.267,2231209200
2015-09-17,2365.611,2437.495,2331.07,2331.704,2622650800
2015-09-18,2350.301,2361.157,2308.363,2334.578,1527199500
2015-09-21,2311.766,2382.942,2302.916,2379.976,1547058600
2015-09-22,2386.452,2432.859,2375.712,2403.718,2069656400
2015-09-23,2356.97,2369.491,2319.73,2326.542,1590841300
2015-09-24,2337.171,2358.326,2325.041,2351.139,1143988300
2015-09-25,2348.521,2371.58,2293.782,2312.034,1691725600
2015-09-28,2309.8,2315.092,2271.172,2313.613,979822000
2015-09-29,2276.981,2282.613,2241.793,2248.891,1024824700
2015-09-30,2251.147,2263.807,2242.721,2247.052,694392600
2015-10-08,2332.797,2337.388,2314.231,2319.798,1441484700
2015-10-09,2313.603,2386.261,2308.052,2380.24,2085053600
2015-10-12,2392.329,2486.403,2383.998,2474.881,3150494800
2015-10-13,2444.849,2464.449,2425.293,2458.343,2163136600
2015-10-14,2449.778,2505.234,2445.253,2459.438,2435212400
2015-10-15,2454.432,2512.387,2450.435,2512.1,2601737200
2015-10-16,2522.191,2536.963,2493.674,2536.963,2924248200
2015-10-19,2532.577,2539.896,2497.842,2519.383,2652942000
2015-10-20,2511.731,2534.901,2484.457,2534.479,2268911600
2015-10-21,2534.308,2551.04,2376.633,2414.488,3808924800
2015-10-22,2396.47,2479.209,2388.646,2475.312,2527183600
2015-10-23,2487.349,2522.131,2466.319,2515.976,3304964600
2015-10-26,2548.025,2550.402,2506.574,2528.854,2689264000
2015-10-27,2515.259,2534.738,2441.148,2527.321,4306160000
2015-10-28,2508.166,2526.48,2478.714,2486.6,3775694400
2015-10-29,2494.796,2510.934,2472.518,2489.902,2508718400
2015-10-30,2476.195,2489.835,2437.367,2458.682,2133109600
2015-11-02,2422.513,2460.833,2405.819,2407.724,1993494800
2015-11-03,2414.527,2432.168,2399.581,2411.7,1425078300
2015-11-04,2420.557,2518.86,2420.557,2518.588,2893138400
2015-11-05,2509.167,2613.527,2504.853,2558.551,4806876000
2015-11-06,2547.285,2603.809,2541.266,2601.607,3656463200
2015-11-09,2579.059,2640.976,2577.251,2620.326,4133309200
2015-11-10,2603.668,2711.404,2595.927,2689.053,5064816400
2015-11-11,2681.517,2699.166,2649.005,2670.142,3879761600
2015-11-12,2675.492,2715.447,2650.857,2667.639,3588701600
2015-11-13,2635.037,2641.664,2583.712,2594.08,2967858600
2015-11-16,2553.243,2625.015,2551.859,2624.776,2495172000
2015-11-17,2631.775,2663.737,2609.193,2614.753,3342460400
2015-11-18,2606.968,2618.51,2576.177,2580.687,2254422200
2015-11-19,2587.899,2617.034,2577.351,2616.951,1995196400
2015-11-20,2619.17,2645.719,2605.501,2638.507,3320452400
2015-11-23,2640.356,2644.423,2594.238,2601.054,3224928000
2015-11-24,2597.831,2599.111,2556.409,2598.353,2481175200
2015-11-25,2610.058,2627.257,2606.116,2623.356,2415457200
2015-11-26,2630.918,2691.001,2621.694,2647.666,3711023200
2015-11-27,2632.395,2632.578,2458.629,2474.986,3638455200
2015-11-30,2473.383,2498.876,2372.526,2459.735,2658741000
2015-12-01,2461.046,2486.201,2443.971,2471.267,1987659600
2015-12-02,2468.713,2517.455,2447.75,2516.463,2269833600
2015-12-03,2502.563,2545.665,2495.928,2543.098,2032075400
2015-12-04,2529.934,2543.877,2486.335,2498.976,1883923200
2015-12-07,2510.876,2522.644,2495.521,2513.688,1593243100
2015-12-08,2485.201,2485.201,2435.722,2441.884,1764755600
2015-12-09,2436.791,2467.891,2426.848,2436.428,1397961600
2015-12-10,2433.081,2449.358,2418.146,2424.776,1413703000
2015-12-11,2415.328,2459.685,2398.266,2442.758,1861498800
2015-12-14,2417.748,2536.08,2415.253,2535.525,2799033800
