date,open,high,low,close,volume
2015-08-13,3058.358,3086.263,3017.99,3079.457,6213129200
2015-08-14,3087.872,3096.928,3064.756,3076.437,6426414800
2015-08-17,3060.624,3060.624,3016.88,3050.02,6247443200
2015-08-18,3054.992,3079.211,2883.151,2890.694,9261060800
2015-08-19,2855.75,2918.537,2798.486,2916.629,8360412800
2015-08-20,2891.308,2901.662,2834.647,2835.119,6225712400
2015-08-21,2805.697,2829.43,2720.046,2727.456,7296421600
2015-08-24,2646.581,2651.127,2480.369,2494.348,11430333600
2015-08-25,2369.956,2485.174,2313.378,2334.746,11783502400
2015-08-26,2358.121,2466.407,2299.349,2379.022,12099938400
2015-08-27,2429.479,2529.293,2388.365,2528.419,11155858400
2015-08-28,2558.116,2616.064,2528.433,2604.22,10885564000
2015-08-31,2576.414,2650.449,2505.539,2648.119,11073314400
2015-09-01,2596.08,2688.509,2538.29,2681.256,15194073600
2015-09-02,2583.385,2707.775,2575.424,2701.914,16093953600
2015-09-07,2671.39,2707.426,2569.202,2575.141,8335251200
2015-09-08,2557.339,2631.874,2524.499,2626.882,5885544400
2015-09-09,2627.032,2684.914,2621.403,2668.756,7382844800
2015-09-10,2633.475,2666.561,2623.087,2647.914,5004622400
2015-09-11,2639.801,2660.435,2615.72,2633.298,3401884400
2015-09-14,2641.906,2647.717,2547.494,2626.697,7760399200
2015-09-15,2581.775,2593.304,2540.978,2570.521,5218373200
2015-09-16,2559.327,2698.363,2542.308,2662.008,5251687200
2015-09-17,2642.374,2679.625,2603.617,2603.815,5076123200
2015-09-18,2616.498,2635.447,2598.699,2607.213,3302930600
2015-09-21,2589.764,2632.015,2581.211,2627.439,3419950800
2015-09-22,2631.119,2673.031,2623.957,2650.858,3942754800
2015-09-23,2619.269,2633.632,2588.808,2591.347,3173232400
2015-09-24,2603.123,2613.202,2583.898,2600.999,2333716600
2015-09-25,2593.136,2604.65,2556.293,2585.677,3408111600
2015-09-28,2572.744,2586.736,2553.275,2582.571,1967177600
2015-09-29,2550.952,2559.289,2525.838,2541.35,2473330400
2015-09-30,2557.755,2580.757,2551.87,2564.102,2485151600
2015-10-08,2663.599,2666.739,2630.248,2630.852,3892822800
2015-10-09,2638.639,2666.601,2632.099,2658.143,3096022400
2015-10-12,2664.094,2759.873,2660.426,2730.968,5847233600
2015-10-13,2714.216,2732.065,2706.14,2721.924,3363058800
2015-10-14,2705.543,2723.199,2686.64,2687.088,3532463600
2015-10-15,2686.146,2733.118,2682.341,2732.857,4066662400
2015-10-16,2744.59,2765.327,2731.704,2755.974,5283030000
2015-10-19,2763.226,2789.758,2746.656,2762.442,4936495200
2015-10-20,2757.984,2779.149,2738.484,2778.928,4301303200
2015-10-21,2779.686,2808.595,2695.327,2754.48,8933652800
2015-10-22,2723.965,2754.906,2713.301,2751.88,4715950000
2015-10-23,2758.846,2781.336,2744.729,2774.454,4385900000
2015-10-26,2803.464,2817.867,2782.723,2794.163,4974366400
