date,open,high,low,close,volume
2015-08-13,7040.692,7241.55,7008.32,7240.565,8855632000
2015-08-14,7306.003,7357.926,7235.561,7289.442,9261996800
2015-08-17,7294.919,7396.246,7222.015,7392.527,9792989600
2015-08-18,7406.734,7420.6,6864.109,6895.803,10487065600
2015-08-19,6680.974,7068.837,6525.812,7024.924,9751083200
2015-08-20,6949.235,7027.626,6774.602,6781.45,7960940000
2015-08-21,6658.853,6735.4,6389.184,6406.085,6998108000
2015-08-24,6127.43,6141.703,5896.774,5899.46,5695855600
2015-08-25,5511.156,5710.496,5473.453,5496.407,6847895200
2015-08-26,5501.18,5721.738,5315.993,5407.272,9390059200
2015-08-27,5509.758,5625.619,5336.689,5623.846,7755864800
2015-08-28,5702.691,5930.478,5657.689,5917.223,8807698400
2015-08-31,5843.333,5843.333,5687.127,5767.145,7544977600
2015-09-01,5665.804,5665.804,5419.287,5502.305,6749166400
2015-09-02,5255.804,5591.201,5236.73,5425.87,7203980000
2015-09-07,5475.068,5624.486,5374.112,5408.743,6287344000
2015-09-08,5362.598,5612.247,5297.759,5598.186,5302581600
2015-09-09,5623.502,5798.824,5603.37,5748.863,8937145600
2015-09-10,5654.724,5750.117,5635.428,5663.197,6061853600
2015-09-11,5649.172,5725.047,5611.008,5701.785,5150276000
2015-09-14,5737.108,5750.774,5328.677,5391.728,6813164800
2015-09-15,5255.772,5342.508,5111.325,5129.325,5256950800
2015-09-16,5136.501,5488.23,5119.245,5455.838,6161129600
2015-09-17,5424.626,5561.567,5317.851,5317.851,7069343200
2015-09-18,5354.732,5413.682,5299.739,5385.269,4649454800
2015-09-21,5323.456,5554.192,5305.958,5553.86,5414178800
2015-09-22,5565.545,5639.395,5512.911,5581.83,6439104400
2015-09-23,5487.303,5572.035,5460.253,5498.633,5560959200
2015-09-24,5523.504,5585.626,5505.581,5568.827,5316475200
2015-09-25,5546.099,5584.743,5365.085,5401.597,5599835600
2015-09-28,5408.3,5509.14,5343.081,5505.467,4142795200
2015-09-29,5420.283,5490.292,5391.52,5426.782,4288872400
2015-09-30,5480.437,5507.941,5417.803,5462.287,3817617600
2015-10-08,5642.195,5707.958,5607.9,5657.073,5815468800
2015-10-09,5655.889,5730.56,5638.512,5708.752,5603485600
2015-10-12,5733.321,5964.703,5732.367,5914.606,8856219200
2015-10-13,5871.529,5988.963,5849.183,5973.202,7319332800
2015-10-14,5942.887,5981.915,5871.767,5880.09,6889323200
2015-10-15,5861.019,6046.535,5860.54,6045.868,7436497600
2015-10-16,6083.69,6139.606,6007.548,6135.196,8746060000
2015-10-19,6156.971,6214.625,6112.884,6191.81,9388997600
2015-10-20,6191.681,6281.237,6146.401,6280.374,8800496000
2015-10-21,6285.572,6306.645,5901.383,5928.137,10975532000
2015-10-22,5923.137,6119.753,5903.716,6107.315,8234444000
2015-10-23,6148.52,6273.848,6115.174,6254.143,9354138400
2015-10-26,6314.326,6326.561,6203.1,6271.02,9004363200
2015-10-27,6227.964,6332.111,6059.086,6302.909,8654795200
2015-10-28,6264.858,6331.517,6144.027,6167.573,7951846400
2015-10-29,6204.121,6278.096,6139.475,6230.661,6872925600
2015-10-30,6219.688,6296.664,6132.686,6223.384,6948002400
2015-11-02,6102.447,6273.129,6088.277,6117.921,6779880000
2015-11-03,6132.187,6163.586,6050.056,6097.152,5379662400
2015-11-04,6121.381,6365.099,6121.381,6365.001,7904232800
2015-11-05,6373.814,6460.07,6347.784,6403.796,10110572800
2015-11-06,6437.049,6560.277,6437.049,6552.592,8672280800
2015-11-09,6529.773,6672.64,6489.577,6635.202,9758214400
2015-11-10,6608.687,6703.088,6587.429,6667.77,9130162400
2015-11-11,6680.044,6715.627,6624.472,6710.94,8255044800
2015-11-12,6733.69,6752.589,6629.087,6708.341,8900457600
2015-11-13,6645.646,6707.615,6550.975,6618.3,8952349600
2015-11-16,6488.515,6695.102,6479.409,6694.407,6733171200
2015-11-17,6742.447,6777.478,6629.053,6643.133,9404774400
2015-11-18,6656.188,6679.964,6527.89,6544.638,6875060800
2015-11-19,6565.893,6705.091,6556.866,6704.256,6544172000
2015-11-20,6723.48,6797.536,6704.895,6772.629,8057730400
2015-11-23,6782.778,6864.487,6744.991,6771.823,9078587200
2015-11-24,6763.012,6796.179,6675.307,6796.036,6641884000
2015-11-25,6790.195,6899.843,6779.894,6894.338,7225044800
2015-11-26,6924.867,6946.094,6846.969,6865.93,7859830400
2015-11-27,6826.751,6844.086,6408.733,6458.201,8393923200
2015-11-30,6465.742,6529.195,6185.022,6488.072,7174144800
2015-12-01,6485.402,6575.977,6452.028,6518.918,6069262000
2015-12-02,6502.099,6572.484,6371.887,6548.792,6082064800
2015-12-03,6552.972,6671.817,6549.505,6671.561,5453956400
2015-12-04,6644.007,6706.022,6597.991,6642.083,6152307200
2015-12-07,6660.127,6763.376,6625.592,6760.058,5932182000
2015-12-08,6726.171,6726.171,6609.086,6613.047,6124224800
2015-12-09,6588.501,6668.706,6587.761,6634.667,5303634700
2015-12-10,6628.151,6704.748,6601.341,6621.69,5112620400
2015-12-11,6597.058,6634.458,6551.482,6581.754,4575038400
2015-12-14,6525.95,6704.332,6519.227,6703.666,4768461600
2015-12-15,6709.778,6781.75,6709.23,6759.788,5108204800
2015-12-16,6786.103,6828.993,6760.79,6777.627,5221771600
2015-12-17,6816.106,6942.724,6816.106,6942.724,7318810400
2015-12-18,6939.772,6957.863,6883.306,6934.857,6773124000
2015-12-21,6923.144,7077.626,6918.835,7061.824,7152844800
2015-12-22,7074.806,7112.154,7016.456,7111.899,6873850200
2015-12-23,7118.845,7150.485,7041.171,7061.26,6916084800
2015-12-24,7049.024,7063.507,6930.225,7032.751,5187738400
2015-12-25,7052.883,7094.007,7034.234,7082.516,4783884500
2015-12-28,7103.043,7121.305,6910.048,6910.048,6705252500
2015-12-29,6902.088,6997.739,6856.006,6997.031,4953276400
2015-12-30,7004.927,7035.95,6962.623,7028.282,5191570700
2015-12-31,7035.613,7041.22,6922.782,6924.081,4772259300
2016-01-04,6912.063,6913.42,6350.253,6350.781,4499738500
2016-01-05,6082.741,6400.162,6043.304,6270.098,6431052600
2016-01-06,6298.192,6412.945,6241.584,6412.208,5141208300
2016-01-07,6299.444,6299.494,5878.701,5886.271,1515095000
2016-01-08,6030.557,6086.648,5676.287,5957.805,6080062500
2016-01-11,5831.765,5896.097,5563.82,5564.073,5477637900
2016-01-12,5568.38,5640.582,5465.186,5576.628,4526724600
2016-01-13,5615.083,5661.463,5403.457,5403.457,4356130700
2016-01-14,5240.227,5586.911,5229.831,5578.831,4955178900
2016-01-15,5532.869,5587.706,5348.398,5381.601,4750035900
2016-01-18,5268.293,5522.577,5264.999,5461.555,4280917200
2016-01-19,5446.73,5663.145,5438.118,5653.121,5024738500
2016-01-20,5613.681,5679.044,5534.147,5576.503,5025529200
2016-01-21,5483.753,5611.724,5354.955,5355.189,4539519400
2016-01-22,5409.643,5454.878,5273.207,5423.908,3820921600
2016-01-25,5464.062,5525.028,5422.444,5478.314,3572753600
2016-01-26,5411.439,5417.706,5080.018,5088.275,4997486000
2016-01-27,5101.075,5117.623,4798.802,5030.379,5146506800
2016-01-28,4959.768,5034.734,4822.673,4836.559,3920637700
2016-01-29,4822.889,5049.313,4814.947,5005.815,4252426700
2016-02-01,4984.355,5029.005,4882.372,4950.589,3764590800
2016-02-02,4949.669,5121.458,4949.631,5106.782,4033901800
2016-02-03,5045.482,5139.567,5010.187,5119.795,3614828600
2016-02-04,5135.774,5240.632,5135.774,5217.025,4239391700
2016-02-05,5226.567,5243.124,5177.217,5181.05,3384342200
2016-02-15,5018.308,5211.191,5016.947,5179.165,3319328200
2016-02-16,5204.838,5386.162,5204.838,5374.615,4889658600
2016-02-17,5364.711,5453.804,5336.885,5449.131,5396547000
2016-02-18,5483.49,5492.777,5414.293,5427.268,5427531600
2016-02-19,5412.996,5469.601,5391.212,5440.506,4282830800
2016-02-22,5506.218,5552.983,5480.826,5552.983,5333998400
2016-02-23,5553.546,5560.527,5437.381,5501.381,5076754200
2016-02-24,5483.106,5546.004,5417.184,5546.004,5414810200
2016-02-25,5536.881,5536.881,5118.797,5143.133,6665578100
2016-02-26,5182.121,5209.067,5046.984,5150.444,4975301000
2016-02-29,5121.534,5121.534,4820.447,4875.509,4589141100
2016-03-01,4873.568,5006.945,4809.316,4978.749,4440427100
2016-03-02,4974.718,5216.994,4973.18,5209.493,5675085800
2016-03-03,5206.108,5285.867,5194.399,5216.891,5719848300
2016-03-04,5194.774,5229.34,5032.114,5096.972,5656733700
2016-03-07,5129.741,5223.941,5127.268,5180.513,4077321300
2016-03-08,5166.508,5210.232,4987.294,5210.232,4752261000
2016-03-09,5107.604,5178.089,5073.354,5120.197,3687195000
2016-03-10,5110.643,5148.082,5029.808,5034.676,3220303500
2016-03-11,4990.96,5062.173,4969.381,5031.786,2722803700
2016-03-14,5084.016,5243.85,5084.016,5192.427,4417747300
2016-03-15,5179.734,5205.262,5134.523,5170.663,3626026000
2016-03-16,5191.756,5207.247,5099.98,5124.624,3421543600
2016-03-17,5143.849,5294.6,5141.112,5279.186,4951355300
2016-03-18,5302.548,5478.968,5301.528,5455.778,7311236900
2016-03-21,5520.693,5581.017,5504.491,5580.398,7782859800
2016-03-22,5540.169,5607.79,5511.742,5572.527,6685587700
2016-03-23,5552.189,5620.46,5545.099,5620.191,5892240900
2016-03-24,5574.999,5648.804,5531.936,5562.189,6999406700
2016-03-25,5546.899,5605.892,5528.445,5605.791,5591992200
2016-03-28,5639.612,5674.728,5545.1,5565.227,5790434600
2016-03-29,5554.638,5564.914,5420.681,5457.9,4806912300
2016-03-30,5503.437,5633.765,5503.437,5633.654,5356473300
2016-03-31,5660.143,5712.295,5641.899,5656.343,5908976800
2016-04-01,5634.952,5648.916,5529.678,5632.397,5077652400
2016-04-05,5645.097,5774.546,5624.091,5768.33,6261642200
2016-04-06,5751.84,5803.398,5729.697,5784.311,6186751600
2016-04-07,5794.469,5804.358,5699.428,5705.627,6196505400
2016-04-08,5662.103,5686.369,5597.035,5662.394,5142526400
2016-04-11,5702.802,5796.876,5702.802,5776.214,5693526300
2016-04-12,5766.317,5780.998,5687.478,5745.772,4924459500
2016-04-13,5773.734,5871.837,5773.703,5805.868,6876449400
2016-04-14,5835.996,5867.297,5801.958,5866.407,5488078400
2016-04-15,5868.184,5877.397,5825.605,5858.324,5192376100
2016-04-18,5824.739,5824.739,5752.103,5792.974,4940915600
2016-04-19,5818.604,5835.061,5778.23,5813.145,4353046800
2016-04-20,5827.018,5837.477,5468.564,5569.477,7065575300
2016-04-21,5537.628,5593.534,5486.291,5493.94,4613463100
2016-04-22,5462.353,5550.303,5450.28,5549.849,3566336400
2016-04-25,5532.614,5542.701,5456.597,5526.865,3303695000
2016-04-26,5520.94,5585.411,5507.96,5584.632,3290940900
2016-04-27,5587.752,5622.732,5557.031,5563.672,3718551400
