date,open,high,low,close,volume
2015-08-13,9400.408,9545.094,9273.206,9543.183,3145562800
2015-08-14,9591.785,9686.458,9534.556,9611.078,3398806400
2015-08-17,9551.066,9807.328,9529.955,9779.307,3438685600
2015-08-18,9767.24,9785.077,9096.616,9136.4,3811252800
2015-08-19,8893.007,9382.413,8772.887,9333.705,3560241200
2015-08-20,9249.665,9330.484,9045.672,9046.917,2995992600
2015-08-21,8918.992,9004.522,8598.344,8628.623,2763394000
2015-08-24,8289.075,8312.533,7919.99,7925.144,2161135600
2015-08-25,7443.42,7775.131,7418.614,7471.956,2377986800
2015-08-26,7515.225,7820.854,7303.407,7451.412,3283088800
2015-08-27,7602.074,7804.592,7427.463,7800.978,2644673200
2015-08-28,7875.13,8132.642,7786.682,8108.169,3050788400
2015-08-31,8001.359,8001.359,7797.845,7910.495,2365743000
2015-09-01,7797.559,7798.481,7503.229,7650.279,2223592000
2015-09-02,7348.203,7727.312,7340.506,7564.487,2495155200
2015-09-07,7568.307,7774.544,7403.377,7447.048,2045932800
2015-09-08,7381.706,7661.565,7293.091,7639.696,1840792200
2015-09-09,7652.182,7859.933,7629.223,7801.407,2974367200
2015-09-10,7681.358,7815.832,7645.919,7704.535,2243014200
2015-09-11,7674.136,7751.343,7589.318,7692.096,1957248600
2015-09-14,7720.186,7758.339,7304.347,7416.61,2582837600
2015-09-15,7258.936,7357.643,7080.008,7136.351,1850168200
2015-09-16,7147.501,7626.552,7115.914,7545.766,2066319200
2015-09-17,7495.944,7630.487,7340.793,7343.799,2341714800
2015-09-18,7389.77,7442.467,7318.749,7405.745,1477351800
2015-09-21,7341.107,7583.699,7312.428,7575.366,1822042800
2015-09-22,7592.018,7686.64,7555.537,7628.771,2184890800
2015-09-23,7525.006,7591.603,7464.869,7502.735,1836650200
2015-09-24,7526.964,7577.139,7485.239,7559.177,1583972300
2015-09-25,7548.252,7599.089,7364.623,7409.156,1632663700
2015-09-28,7399.878,7467.356,7300.118,7467.173,1160124700
2015-09-29,7365.532,7455.82,7350.575,7400.019,1467648000
2015-09-30,7423.326,7451.906,7376.79,7403.303,1194307000
2015-10-08,7633.802,7715.974,7605.034,7666.404,2107892800
2015-10-09,7644.652,7739.978,7622.662,7711.078,1950003600
2015-10-12,7733.252,8040.346,7733.252,7928.2,3080780400
2015-10-13,7877.08,7987.641,7847.824,7972.126,2358432400
2015-10-14,7952.571,7995.185,7858.9,7867.073,2604440600
2015-10-15,7842.077,8067.325,7841.421,8066.508,2814469200
2015-10-16,8117.513,8173.679,8018.351,8168.113,3199942400
2015-10-19,8187.242,8208.944,8067.187,8146.755,3003471800
2015-10-20,8126.487,8211.736,8066.52,8210.936,2783358800
2015-10-21,8221.418,8262.645,7783.447,7829.472,3467737200
2015-10-22,7818.735,8068.957,7812.766,8061.741,2627112400
2015-10-23,8108.144,8269.629,8090.425,8240.964,3061619600
2015-10-26,8308.573,8348.415,8185.944,8298.788,2950258800
2015-10-27,8251.289,8300.409,8020.034,8274.085,2581651600
2015-10-28,8230.113,8301.135,8097.761,8122.472,2200844000
2015-10-29,8171.571,8266.188,8131.977,8204.951,1948972800
2015-10-30,8240.171,8302.854,8150.132,8221.781,2435231200
2015-11-02,8101.731,8274.157,8046.677,8101.417,2398894600
2015-11-03,8123.027,8191.42,8063.136,8107.061,2322330000
2015-11-04,8136.852,8422.032,8136.852,8421.247,3181840000
2015-11-05,8416.254,8546.903,8384.81,8430.574,3673340000
2015-11-06,8432.67,8545.799,8416.251,8540.974,2972799200
2015-11-09,8527.194,8696.201,8466.725,8651.313,3480366800
2015-11-10,8622.025,8690.081,8555.54,8633.419,3318310200
2015-11-11,8634.986,8700.053,8587.754,8691.427,2819870800
2015-11-12,8718.399,8731.886,8603.121,8681.332,2932643200
2015-11-13,8612.08,8630.862,8469.766,8504.044,2615136400
2015-11-16,8368.658,8584.044,8359.77,8581.627,2017533000
2015-11-17,8640.525,8723.386,8546.047,8576.745,2863694400
2015-11-18,8575.604,8630.543,8519.024,8536.642,2189892000
2015-11-19,8549.306,8643.05,8524.227,8642.505,1932872000
2015-11-20,8655.035,8698.282,8606.028,8682.506,2462136600
2015-11-23,8680.428,8733.68,8632.62,8657.098,2598674400
2015-11-24,8649.886,8697.871,8567.614,8696.838,2149175000
2015-11-25,8691.93,8831.193,8674.634,8830.359,2510230200
2015-11-26,8856.081,8874.34,8782.95,8803.583,2793169000
2015-11-27,8771.655,8780.159,8348.284,8404.227,2869450800
2015-11-30,8416.757,8480.034,8132.175,8436.406,2571078200
2015-12-01,8424.789,8514.633,8375.914,8478.713,1992515200
2015-12-02,8494.201,8597.248,8421.852,8581.133,2149865600
2015-12-03,8549.36,8674.734,8545.265,8672.396,2074893400
2015-12-04,8632.13,8670.478,8572.458,8638.271,2307457600
