date,open,high,low,close,volume
2015-08-13,9792.591,10079.73,9732.905,10078.91,13365028864
2015-08-14,10156.35,10292.8,10092.19,10179.41,16071307264
2015-08-17,10168.8,10418.52,10127.71,10417.9,16201327616
2015-08-18,10446.17,10465.19,9603.162,9630.466,18439569408
2015-08-19,9279.988,9922.253,9038.786,9850.979,16262224896
2015-08-20,9746.8,9894.605,9501.425,9501.425,13831446528
2015-08-21,9304.25,9439.926,8924.262,8950.452,13456109568
2015-08-24,8518.262,8565.594,8211.462,8215.108,9219222528
2015-08-25,7601.401,7815.086,7566.675,7584.062,10416229376
2015-08-26,7580.869,7843.897,7225.041,7318.431,14919720960
2015-08-27,7447.791,7593.068,7166.501,7591.064,12493234176
2015-08-28,7708.81,8054.502,7657.352,8052.385,14275851264
2015-08-31,7989.772,7989.772,7734.509,7737.111,11625854976
2015-09-01,7653.18,7653.18,7232.989,7245.826,9866792960
2015-09-02,6906.547,7423.118,6890.405,7229.978,11503271936
2015-09-07,7299.528,7533.908,7186.01,7242.358,10244707328
2015-09-08,7184.813,7530.832,7087.121,7518.571,8550983680
2015-09-09,7554.779,7792.033,7519.819,7724.896,15009782784
2015-09-10,7583.488,7732.935,7550.691,7582.481,10641517568
2015-09-11,7562.427,7674.467,7504.318,7637.133,9257202688
2015-09-14,7686.0,7709.391,7057.868,7092.76,11911366656
2015-09-15,6902.48,7034.178,6663.86,6686.001,9342742528
2015-09-16,6707.984,7178.477,6687.336,7148.74,10495292416
2015-09-17,7112.147,7325.89,6998.911,6998.911,12783572992
2015-09-18,7048.124,7124.148,6959.465,7079.599,8365211136
2015-09-21,6997.38,7332.343,6968.04,7329.135,10543392768
2015-09-22,7345.708,7467.218,7295.986,7392.589,11868962816
2015-09-23,7270.572,7393.826,7230.089,7302.635,10124732416
2015-09-24,7332.582,7420.165,7306.592,7410.235,9329018880
2015-09-25,7385.582,7434.757,7120.345,7172.031,9894203392
2015-09-28,7182.274,7303.09,7066.595,7302.112,6773715968
2015-09-29,7175.89,7260.061,7120.763,7167.98,6857949184
2015-09-30,7208.976,7242.081,7127.197,7193.083,5649766912
2015-10-08,7430.99,7532.674,7382.944,7485.609,9490732032
2015-10-09,7482.029,7634.457,7461.168,7605.001,9971166208
2015-10-12,7646.261,7984.898,7640.48,7904.257,15361987584
2015-10-13,7848.947,8019.067,7821.116,8004.66,13297752064
2015-10-14,7970.413,8045.51,7886.833,7903.979,12588244992
2015-10-15,7865.617,8142.814,7865.617,8142.684,13179506688
2015-10-16,8204.025,8286.296,8084.567,8281.009,16450997248
2015-10-19,8308.141,8359.177,8172.903,8282.365,15600793600
2015-10-20,8270.858,8418.184,8223.817,8417.646,13806278656
2015-10-21,8418.645,8449.196,7845.611,7874.127,17816918016
2015-10-22,7870.235,8176.895,7862.486,8170.02,13547089920
2015-10-23,8225.494,8422.511,8198.625,8390.865,15889896448
2015-10-26,8493.816,8509.522,8336.352,8449.815,16330471424
2015-10-27,8380.281,8540.669,8119.095,8501.417,14744128512
2015-10-28,8444.139,8553.357,8270.105,8305.213,13272422400
2015-10-29,8359.466,8463.871,8263.521,8379.196,11074126848
2015-10-30,8358.142,8465.895,8235.484,8353.507,11006955520
2015-11-02,8180.825,8415.379,8152.211,8186.67,10720432128
2015-11-03,8207.74,8258.981,8105.221,8180.253,8910533632
2015-11-04,8217.668,8580.611,8217.668,8580.157,13920839680
