date,open,high,low,close,volume
2015-08-13,7795.09,8036.0,7786.237,8030.051,622023680
2015-08-14,8096.415,8255.56,8065.761,8154.925,790164416
2015-08-17,8150.173,8273.326,8037.026,8273.326,775021376
2015-08-18,8243.447,8272.784,7605.087,7615.215,848519360
2015-08-19,7431.581,7810.255,7226.47,7752.738,665476096
2015-08-20,7627.321,7729.599,7467.274,7484.103,505513792
2015-08-21,7371.464,7471.051,7065.264,7099.278,537330304
2015-08-24,6831.526,6889.823,6478.399,6496.243,975015552
2015-08-25,6031.296,6324.357,6003.889,6166.633,1084552064
2015-08-26,6253.209,6488.426,6061.32,6250.006,949268800
2015-08-27,6356.129,6490.935,6168.473,6489.984,708104640
2015-08-28,6618.067,6819.373,6561.439,6800.846,709318272
2015-08-31,6780.691,6841.165,6554.48,6840.291,679462464
2015-09-01,6757.677,6976.091,6500.324,6948.848,925498240
2015-09-02,6616.276,7057.476,6612.63,7010.531,973857344
2015-09-07,6965.993,7198.301,6671.768,6707.717,754758656
2015-09-08,6655.203,6911.236,6515.624,6888.223,424899488
2015-09-09,6913.356,7094.046,6879.364,7006.054,568824192
2015-09-10,6885.539,7000.835,6865.677,6936.585,382771232
2015-09-11,6921.276,7057.851,6898.779,7053.7,358771680
2015-09-14,7041.298,7069.259,6602.678,6826.96,558519936
2015-09-15,6676.282,6761.75,6532.475,6541.692,346747264
2015-09-16,6549.596,6974.673,6548.03,6892.449,355657568
2015-09-17,6849.841,6959.044,6726.125,6726.125,337651488
2015-09-18,6764.483,6799.139,6679.622,6733.114,183917680
2015-09-21,6689.882,6890.839,6677.173,6890.839,252009072
2015-09-22,6896.057,7009.999,6873.613,6958.81,273597344
2015-09-23,6868.787,6981.148,6825.858,6836.248,281367680
2015-09-24,6773.884,6807.837,6699.668,6780.341,225772880
2015-09-25,6741.989,6854.005,6644.4,6684.503,572089472
2015-09-28,6703.636,6716.453,6550.878,6630.875,277161280
2015-09-29,6556.724,6572.396,6441.66,6489.373,264331152
2015-09-30,6509.291,6588.593,6482.308,6546.481,262682480
2015-10-08,6765.038,6824.764,6716.177,6778.787,453662784
2015-10-09,6775.244,6843.771,6753.54,6825.032,264581968
2015-10-12,6870.864,7151.066,6867.03,6999.878,638345408
2015-10-13,6959.701,7033.583,6923.248,7006.919,398616064
2015-10-14,6954.524,6998.669,6849.542,6868.441,362293408
2015-10-15,6851.667,7057.737,6851.667,7056.908,387745184
2015-10-16,7081.896,7299.558,7059.163,7286.225,570095168
2015-10-19,7318.4,7334.559,7137.934,7233.424,482141184
2015-10-20,7202.281,7286.247,7177.606,7284.918,364411328
2015-10-21,7278.453,7400.86,6932.556,6989.796,655965952
2015-10-22,6980.346,7139.782,6945.378,7137.876,384986272
2015-10-23,7151.378,7400.691,7133.244,7358.137,605116096
2015-10-26,7492.271,7496.74,7289.12,7348.828,609167040
