date,open,high,low,close,volume
2015-08-13,5815.286,5832.678,5738.564,5793.184,2033610752
2015-08-14,5800.603,5802.571,5759.742,5774.573,1874301952
2015-08-17,5747.128,5747.679,5669.097,5697.099,2323882752
2015-08-18,5696.961,5752.164,5520.22,5523.662,3561475072
2015-08-19,5522.75,5556.098,5399.321,5555.187,3604313856
2015-08-20,5539.239,5549.996,5458.189,5458.189,2352175872
2015-08-21,5426.106,5468.511,5330.915,5336.526,3101346048
2015-08-24,5207.921,5217.206,4812.057,4856.351,5813787136
2015-08-25,4690.581,4903.795,4479.417,4573.809,5619120640
2015-08-26,4645.603,4904.18,4579.83,4829.891,5517803520
2015-08-27,4900.066,5205.374,4793.183,5201.099,5045204992
2015-08-28,5220.439,5254.835,5133.87,5222.175,4569495552
2015-08-31,5172.79,5391.369,5065.944,5388.191,4520904192
2015-09-01,5273.177,5555.882,5230.468,5530.87,8366274560
2015-09-02,5359.048,5645.957,5348.522,5637.676,9815805952
2015-09-07,5512.653,5512.653,5242.625,5263.602,4053781504
2015-09-08,5230.923,5421.266,5190.892,5362.08,2916066048
2015-09-09,5352.189,5408.284,5339.674,5393.619,2709842432
2015-09-10,5343.765,5442.566,5327.981,5441.048,2057942912
2015-09-11,5413.449,5457.141,5394.194,5415.856,1470600576
2015-09-14,5412.622,5571.118,5265.801,5566.93,3391574016
2015-09-15,5470.909,5526.216,5439.688,5515.462,2672739072
2015-09-16,5476.314,5618.143,5415.456,5532.268,2006513280
2015-09-17,5491.711,5546.992,5437.394,5437.394,1499780608
2015-09-18,5442.402,5474.072,5418.112,5418.869,1167536896
2015-09-21,5387.939,5414.736,5367.452,5400.8,1207332480
2015-09-22,5403.582,5490.082,5392.703,5452.875,1201613056
2015-09-23,5409.434,5433.394,5349.22,5359.88,1045217792
2015-09-24,5381.631,5382.572,5331.083,5357.862,814998336
2015-09-25,5345.247,5425.653,5314.58,5425.653,1353765376
2015-09-28,5388.61,5389.213,5355.973,5378.799,774438656
2015-09-29,5320.91,5338.73,5285.189,5316.417,986927808
2015-09-30,5324.813,5402.75,5313.172,5374.031,1014272896
2015-10-08,5491.059,5491.555,5397.458,5399.484,1329529216
2015-10-09,5428.642,5468.426,5413.25,5440.465,1010682624
2015-10-12,5452.685,5576.383,5436.519,5534.262,2093128448
2015-10-13,5516.043,5516.043,5483.399,5494.631,1078902656
2015-10-14,5458.312,5493.439,5451.806,5455.009,959566208
2015-10-15,5459.57,5528.157,5442.876,5522.495,1195536384
2015-10-16,5536.558,5579.642,5530.748,5553.078,1558233088
2015-10-19,5558.913,5571.704,5515.006,5530.487,1512605568
2015-10-20,5525.081,5540.951,5499.683,5533.515,1130121216
2015-10-21,5529.985,5679.388,5503.742,5679.388,3758572288
2015-10-22,5585.79,5635.072,5560.209,5592.574,2019709056
2015-10-23,5583.824,5594.246,5569.433,5589.394,1636409728
2015-10-26,5619.177,5650.451,5593.241,5603.938,1697465216
2015-10-27,5593.947,5597.597,5551.461,5586.126,1305111808
2015-10-28,5568.761,5596.484,5551.156,5553.838,1373581184
2015-10-29,5547.281,5566.45,5539.801,5545.637,991239680
2015-10-30,5543.247,5590.835,5542.321,5557.359,1168680576
2015-11-02,5528.575,5553.738,5508.056,5508.056,1080641536
2015-11-03,5511.518,5531.794,5477.8,5484.39,1104884608
2015-11-04,5490.419,5657.087,5487.298,5648.022,2311781376
2015-11-05,5625.119,5887.965,5619.271,5784.047,4983492608
2015-11-06,5752.972,5832.775,5724.124,5826.277,2929844736
2015-11-09,5872.794,6187.725,5872.794,6026.115,5966176768
2015-11-10,5956.088,6048.35,5918.554,5967.964,3294129664
2015-11-11,5959.673,5960.526,5829.135,5884.01,2291691264
2015-11-12,5902.223,5905.143,5790.682,5815.397,1656832256
2015-11-13,5771.008,5838.58,5765.391,5771.062,1486961536
2015-11-16,5714.764,5788.382,5713.962,5781.947,1347111808
2015-11-17,5799.272,5895.78,5793.698,5801.298,2178351360
2015-11-18,5809.365,5898.164,5755.093,5818.402,2304863232
2015-11-19,5805.393,5884.416,5805.393,5883.839,1679731584
2015-11-20,5877.65,5941.458,5868.925,5901.645,2069093760
2015-11-23,5897.724,5936.048,5871.027,5895.738,1615520512
2015-11-24,5876.829,5881.704,5801.141,5847.957,1761074560
2015-11-25,5829.697,5882.492,5787.969,5878.574,1873858944
2015-11-26,5883.064,5905.258,5843.675,5845.061,1663890432
2015-11-27,5821.565,5822.373,5597.141,5632.488,1930091264
2015-11-30,5634.653,5740.829,5617.303,5716.891,2403744256
2015-12-01,5709.874,5727.697,5625.15,5679.206,1741206016
2015-12-02,5667.199,6014.402,5663.971,5999.539,4419884032
2015-12-03,5957.533,6082.082,5902.893,6019.087,5638857216
2015-12-04,5957.573,5963.933,5835.678,5844.51,2629076224
2015-12-07,5852.122,5871.47,5824.377,5870.399,1391857664
2015-12-08,5837.074,5887.605,5774.713,5844.72,1704067328
2015-12-09,5812.673,5882.031,5812.555,5839.049,1333578752
2015-12-10,5833.533,5922.356,5799.808,5808.398,1361412736
2015-12-11,5782.519,5789.623,5707.943,5749.261,1398253568
2015-12-14,5700.686,5853.465,5697.284,5840.513,1775203200
2015-12-15,5830.412,5831.73,5757.509,5767.499,1158567424
2015-12-16,5780.888,5791.488,5736.353,5749.376,950268352
2015-12-17,5770.226,5827.911,5761.018,5806.145,1525752320
2015-12-18,5791.345,6068.474,5790.789,5893.488,2890355968
2015-12-21,5858.107,6149.14,5854.887,6098.374,3819588608
2015-12-22,6068.984,6110.94,6008.689,6047.755,2119193472
2015-12-23,6052.99,6160.495,6013.226,6052.6,2795938816
2015-12-24,6051.8,6086.335,5976.801,6059.115,2027379200
2015-12-25,6063.183,6096.158,6048.738,6083.228,1237391488
2015-12-28,6081.725,6087.433,5902.139,5903.037,2002732928
2015-12-29,5898.469,5984.9,5882.633,5961.55,1214660480
2015-12-30,5947.899,5980.595,5880.084,5979.948,1215887488
2015-12-31,5959.638,5995.738,5905.995,5962.158,1536904576
2016-01-04,5941.016,5941.404,5692.132,5692.132,1415353984
2016-01-05,5636.992,5782.067,5623.389,5734.882,1842436480
2016-01-06,5724.393,5782.326,5699.975,5778.781,1255335936
2016-01-07,5710.207,5715.164,5538.53,5548.553,411196384
2016-01-08,5632.603,5697.707,5514.713,5614.646,1940886144
2016-01-11,5544.898,5559.773,5427.459,5427.459,1914931840
2016-01-12,5461.489,5487.829,5430.306,5440.723,1310461952
2016-01-13,5491.215,5491.999,5394.708,5399.982,1122030080
2016-01-14,5309.272,5442.352,5302.059,5431.114,1484030848
2016-01-15,5411.439,5442.52,5305.646,5330.278,1297912448
2016-01-18,5264.098,5367.322,5260.663,5317.164,1147481344
2016-01-19,5332.099,5409.437,5292.465,5397.551,1170816000
2016-01-20,5364.927,5380.529,5280.318,5323.941,1252640768
2016-01-21,5290.754,5408.694,5247.09,5247.09,1325819520
2016-01-22,5293.186,5306.321,5232.804,5284.837,977110656
2016-01-25,5285.041,5293.328,5252.247,5293.259,843286464
2016-01-26,5259.125,5268.66,5066.67,5088.29,1376680576
2016-01-27,5108.738,5149.075,5043.431,5103.783,1510429056
2016-01-28,5091.725,5104.562,4995.76,5035.355,992625408
2016-01-29,5037.272,5174.813,5032.696,5136.118,1362311168
2016-02-01,5132.267,5143.665,5015.452,5051.16,965505536
2016-02-02,5039.773,5122.624,5039.213,5095.073,853256640
2016-02-03,5050.742,5063.001,5013.049,5047.05,771586496
2016-02-04,5076.24,5108.855,5061.384,5105.62,796925248
2016-02-05,5107.96,5132.044,5092.421,5127.722,677506944
2016-02-15,5020.938,5106.961,5013.929,5084.763,737814272
2016-02-16,5101.778,5187.88,5101.693,5179.024,994090560
2016-02-17,5176.309,5211.158,5164.399,5194.997,1001597888
2016-02-18,5205.62,5221.081,5178.512,5187.378,1007523520
2016-02-19,5175.722,5186.352,5136.741,5151.391,804132160
2016-02-22,5185.392,5256.438,5163.338,5240.253,1390095232
2016-02-23,5231.015,5231.015,5151.934,5179.239,907186048
2016-02-24,5161.537,5191.617,5147.115,5189.331,720847424
2016-02-25,5186.474,5186.474,5016.944,5029.664,1636729984
2016-02-26,5047.689,5101.662,5036.881,5081.864,1009966976
2016-02-29,5068.556,5116.755,4975.898,5098.807,1706659968
2016-03-01,5089.073,5136.403,5060.751,5113.675,986968640
2016-03-02,5134.516,5223.215,5119.066,5222.428,1715120896
2016-03-03,5218.209,5270.331,5200.321,5268.78,1521456256
2016-03-04,5248.718,5514.19,5240.235,5492.906,4303422464
2016-03-07,5462.844,5483.259,5415.203,5438.644,1539266688
2016-03-08,5420.72,5485.899,5288.718,5477.209,1611449088
2016-03-09,5388.314,5504.899,5352.353,5503.206,1671487104
2016-03-10,5443.04,5473.79,5382.879,5386.781,942942592
2016-03-11,5364.125,5383.081,5289.096,5383.081,1098633728
2016-03-14,5390.702,5457.944,5342.416,5353.204,1432727424
2016-03-15,5365.405,5430.116,5314.043,5417.294,1337182976
2016-03-16,5383.905,5566.529,5378.807,5552.274,3072195072
2016-03-17,5533.469,5557.617,5448.09,5478.279,1631854592
2016-03-18,5487.25,5508.395,5450.961,5476.014,2221119232
2016-03-21,5481.786,5562.862,5475.258,5512.066,2327510528
2016-03-22,5513.21,5575.9,5488.425,5496.812,1343695232
2016-03-23,5494.347,5514.024,5472.909,5484.713,916873536
2016-03-24,5471.551,5471.551,5421.054,5422.108,909406848
2016-03-25,5420.296,5448.314,5420.296,5433.071,571842752
2016-03-28,5438.257,5465.643,5364.475,5379.198,867543808
2016-03-29,5390.847,5414.843,5358.676,5365.629,870562560
2016-03-30,5398.109,5487.648,5398.109,5479.549,1370044672
2016-03-31,5493.814,5497.395,5442.52,5463.048,1050492032
2016-04-01,5466.569,5503.831,5395.255,5501.87,1242148224
2016-04-05,5456.795,5521.087,5430.096,5514.113,1349551872
2016-04-06,5478.52,5495.909,5453.003,5466.498,904122496
2016-04-07,5477.543,5477.67,5412.739,5413.586,851442368
2016-04-08,5386.239,5433.905,5385.723,5411.062,739542720
2016-04-11,5411.447,5480.03,5411.447,5449.4,957553472
2016-04-12,5455.314,5455.314,5427.364,5439.736,569229760
2016-04-13,5459.644,5533.136,5459.644,5486.061,1658158080
2016-04-14,5513.167,5525.187,5482.74,5496.352,720146560
2016-04-15,5513.709,5562.997,5495.058,5536.662,989989632
2016-04-18,5499.784,5539.881,5484.863,5508.043,931481856
2016-04-19,5531.824,5535.681,5502.305,5516.311,653656384
2016-04-20,5519.405,5527.669,5390.829,5525.896,1807911808
2016-04-21,5496.143,5596.89,5473.547,5531.153,1120663552
2016-04-22,5508.835,5590.512,5507.532,5560.683,742786048
2016-04-25,5536.53,5568.265,5496.873,5552.022,752963072
2016-04-26,5541.792,5582.225,5536.337,5566.763,631424000
2016-04-27,5574.495,5574.495,5546.835,5554.474,534584288
2016-04-28,5569.583,5608.428,5544.571,5572.753,811160960
2016-04-29,5558.802,5568.763,5535.391,5535.391,702146688
2016-05-03,5544.031,5596.261,5526.427,5575.122,1028344832
2016-05-04,5561.887,5581.601,5557.037,5573.984,688153088
2016-05-05,5565.628,5578.367,5551.107,5570.232,555419456
2016-05-06,5568.973,5569.17,5496.641,5496.932,846362816
2016-05-09,5493.822,5502.122,5421.257,5446.601,919194867
2016-05-10,5414.422,5460.313,5414.229,5426.51,695244349
2016-05-11,5437.801,5473.102,5419.589,5448.9,699141715
2016-05-12,5430.877,5474.589,5419.325,5459.977,671703671
2016-05-13,5447.491,5468.353,5435.771,5447.966,666574072
2016-05-16,5434.611,5462.751,5432.584,5455.083,495293542
2016-05-17,5455.279,5455.279,5420.684,5432.539,474885122
2016-05-18,5424.786,5483.406,5392.472,5472.871,1086794948
2016-05-19,5452.585,5473.177,5438.5,5442.066,535947530
2016-05-20,5433.727,5462.46,5427.223,5455.396,570010867
2016-05-23,5461.38,5474.402,5428.886,5433.333,600389584
2016-05-24,5430.958,5431.143,5389.531,5391.297,617162572
2016-05-25,5425.469,5435.901,5409.692,5429.847,436490432
2016-05-26,5422.131,5457.627,5420.51,5442.282,528101759
2016-05-27,5438.636,5455.501,5427.802,5446.241,460983245
2016-05-30,5456.417,5497.381,5429.236,5494.193,819291272
2016-05-31,5494.716,5612.26,5494.585,5606.66,1514732856
2016-06-01,5610.93,5614.537,5562.953,5565.818,868102174
2016-06-02,5565.237,5578.468,5538.655,5549.621,525256416
2016-06-03,5571.958,5575.556,5538.347,5574.776,671311200
2016-06-06,5551.227,5555.95,5519.254,5531.445,584447201
2016-06-07,5545.167,5546.909,5523.854,5536.737,563245208
2016-06-08,5536.733,5541.387,5515.41,5531.866,636463898
2016-06-13,5494.158,5523.251,5450.556,5453.567,799254159
2016-06-14,5450.38,5501.414,5449.01,5481.338,633012560
2016-06-15,5439.737,5498.284,5439.587,5486.212,725495827
2016-06-16,5457.996,5487.061,5457.757,5468.655,674675166
2016-06-17,5466.02,5512.564,5465.06,5488.225,632252446
2016-06-20,5508.905,5515.748,5474.951,5495.289,457705726
2016-06-21,5498.512,5523.938,5488.699,5501.592,573380719
2016-06-22,5494.363,5522.964,5488.525,5518.99,638961127
2016-06-23,5511.056,5511.294,5479.142,5491.737,644207429
2016-06-24,5466.043,5492.385,5370.03,5417.426,924079978
2016-06-27,5406.421,5440.182,5405.849,5435.125,673509894
2016-06-28,5422.734,5434.743,5406.438,5433.574,648290645
2016-06-29,5437.604,5491.579,5428.885,5489.035,940890750
2016-06-30,5475.146,5494.753,5463.045,5472.67,843244693
2016-07-01,5477.575,5512.907,5472.867,5509.421,661164290
2016-07-04,5499.652,5590.633,5498.972,5565.788,950328985
2016-07-05,5567.41,5571.205,5530.663,5551.098,776346944
2016-07-06,5540.657,5547.598,5521.637,5533.643,782529028
2016-07-07,5511.833,5533.399,5498.231,5527.509,912106042
2016-07-08,5496.449,5496.449,5462.93,5464.926,647432605
2016-07-11,5469.409,5489.92,5462.299,5466.47,768864364
2016-07-12,5467.09,5546.463,5466.087,5540.816,1274343624
2016-07-13,5486.755,5585.01,5486.755,5521.582,1540431213
2016-07-14,5517.611,5536.301,5491.487,5512.031,726474705
2016-07-15,5514.797,5537.154,5511.79,5527.516,717201869
2016-07-18,5532.629,5623.191,5532.629,5586.112,1202628380
2016-07-19,5599.68,5618.886,5521.259,5543.978,802230069
2016-07-20,5543.455,5546.211,5502.215,5510.154,599144329
2016-07-21,5510.346,5541.179,5507.906,5535.063,705607000
2016-07-22,5529.459,5533.078,5488.667,5494.926,713767538
2016-07-25,5488.571,5511.556,5486.914,5503.112,668453119
2016-07-26,5492.862,5535.404,5492.473,5532.526,743442850
2016-07-27,5532.724,5541.345,5451.434,5540.906,1267550330
2016-07-28,5510.024,5514.966,5489.746,5496.064,681436128
2016-07-29,5498.302,5514.566,5491.049,5512.768,659577451
2016-08-01,5502.069,5543.014,5499.737,5541.329,940212284
2016-08-02,5533.53,5539.844,5510.107,5526.277,557504453
2016-08-03,5501.608,5514.072,5490.638,5499.993,613924161
2016-08-04,5503.667,5504.674,5463.608,5486.412,756626544
2016-08-05,5485.661,5553.166,5477.631,5530.589,861546129
2016-08-08,5524.618,5534.775,5503.092,5533.262,654621984
2016-08-09,5533.465,5552.131,5525.906,5551.39,817837034
2016-08-10,5551.503,5570.64,5542.777,5563.572,675446808
2016-08-11,5561.971,5716.169,5561.302,5628.409,1744792071
2016-08-12,5635.909,5771.258,5626.304,5768.11,1935053183
2016-08-15,5790.396,5962.886,5782.953,5894.146,2511137355
2016-08-16,5912.814,5919.379,5735.143,5777.569,3275061717
2016-08-17,5778.217,5804.284,5750.882,5763.543,1147656050
2016-08-18,5747.855,5793.756,5717.411,5734.044,1163470662
2016-08-19,5740.903,5757.139,5723.171,5744.67,710523897
2016-08-22,5743.06,5759.475,5711.427,5742.287,1035806565
2016-08-23,5734.37,5789.737,5734.131,5757.248,1097303036
2016-08-24,5757.648,5764.254,5731.61,5746.098,744990871
2016-08-25,5734.053,5750.864,5693.353,5738.711,911326991
2016-08-26,5737.028,5750.603,5722.274,5732.43,648869353
2016-08-29,5717.526,5722.787,5673.763,5696.904,878037117
2016-08-30,5698.684,5748.688,5698.684,5743.989,825551715
2016-08-31,5732.638,5780.836,5727.423,5761.202,690926981
2016-09-01,5755.975,5774.487,5744.345,5746.655,775086425
2016-09-02,5731.558,5763.083,5731.558,5754.354,837609687
2016-09-05,5753.593,5775.436,5741.291,5759.107,813220665
2016-09-06,5755.613,5769.912,5724.594,5729.285,1039355180
2016-09-07,5730.468,5746.047,5717.737,5738.913,774900905
2016-09-08,5736.953,5745.202,5728.09,5740.77,590787561
2016-09-09,5737.415,5742.035,5715.993,5716.227,547865144
2016-09-12,5670.071,5675.126,5615.376,5636.396,1297230316
2016-09-13,5640.772,5652.161,5634.875,5637.284,665828157
2016-09-14,5628.813,5634.281,5580.275,5585.749,853972042
2016-09-19,5590.981,5623.055,5590.914,5619.839,698826031
2016-09-20,5620.946,5624.152,5602.794,5612.547,560365569
2016-09-21,5612.946,5638.294,5607.348,5627.257,584311830
2016-09-22,5642.722,5676.033,5631.807,5658.109,636641410
2016-09-23,5661.828,5671.651,5651.468,5661.29,494357604
2016-09-26,5642.362,5646.241,5618.631,5619.739,788713334
2016-09-27,5613.289,5644.045,5609.588,5642.956,593562776
2016-09-28,5642.883,5642.883,5608.26,5614.17,425756170
2016-09-29,5621.437,5642.717,5620.381,5636.238,474939256
2016-09-30,5627.959,5649.065,5627.053,5635.48,404723889
2016-10-10,5648.699,5684.403,5644.685,5677.912,722752084
2016-10-11,5680.387,5683.008,5661.864,5672.417,615262933
2016-10-12,5663.468,5663.536,5642.62,5649.349,510354267
2016-10-13,5653.786,5666.2,5632.073,5639.848,642968326
2016-10-14,5636.522,5651.4,5627.771,5649.19,485453463
2016-10-17,5644.329,5646.733,5606.209,5615.599,575353305
2016-10-18,5609.794,5652.129,5609.196,5646.086,654204168
2016-10-19,5646.645,5664.604,5635.628,5641.273,518604407
2016-10-20,5648.606,5659.542,5644.282,5652.308,457676192
2016-10-21,5649.346,5678.978,5645.759,5678.138,658965755
2016-10-24,5680.399,5778.711,5679.102,5740.267,1382459103
2016-10-25,5741.328,5756.039,5719.68,5727.604,732461372
2016-10-26,5720.541,5722.526,5682.646,5685.318,619995093
2016-10-27,5684.429,5687.823,5656.984,5674.132,593613867
2016-10-28,5668.55,5726.277,5668.55,5701.233,831920028
2016-10-31,5689.698,5689.698,5650.613,5681.402,632157053
2016-11-01,5679.177,5710.042,5667.896,5709.33,703291863
2016-11-02,5691.604,5694.097,5667.775,5677.712,726936312
2016-11-03,5668.392,5713.918,5664.3,5707.06,788782169
2016-11-04,5699.425,5733.13,5688.719,5699.491,917612793
2016-11-07,5697.36,5700.901,5684.25,5694.851,697348594
2016-11-08,5699.733,5739.246,5693.293,5726.136,1182729469
2016-11-09,5722.16,5726.931,5649.854,5680.189,1199725292
2016-11-10,5708.019,5743.951,5706.741,5729.75,844932382
2016-11-11,5718.912,5744.124,5711.815,5736.208,1294646758
