date,open,high,low,close,volume
2015-08-13,10959.884,11240.755,10820.225,11240.639,296275520
2015-08-14,11324.769,11402.589,11197.738,11256.174,316674528
2015-08-17,11240.621,11271.118,10957.712,11271.046,273577440
2015-08-18,11268.481,11373.015,10464.827,10493.576,364994464
2015-08-19,10230.246,10749.629,9939.392,10714.437,320068032
2015-08-20,10726.189,10824.95,10493.606,10493.606,244086752
2015-08-21,10293.648,10400.716,9968.714,9982.294,298796192
2015-08-24,9525.386,9599.711,9244.632,9244.632,275190464
2015-08-25,8659.66,8895.736,8582.714,8588.502,293524000
2015-08-26,8637.171,8844.415,8192.84,8248.388,402283264
2015-08-27,8425.912,8557.957,8125.404,8557.957,335442944
2015-08-28,8686.882,9062.518,8633.732,9061.066,368446080
2015-08-31,8923.642,8944.267,8699.114,8710.845,290736928
2015-09-01,8604.83,8604.83,8187.97,8235.254,281546848
2015-09-02,7857.346,8443.452,7857.346,8151.977,342315680
2015-09-07,8224.424,8491.597,8224.424,8261.473,292251840
2015-09-08,8193.159,8683.39,8162.666,8675.632,272386880
2015-09-09,8740.626,9045.449,8708.049,8990.418,407441440
2015-09-10,8820.976,9002.881,8798.623,8808.822,254593216
2015-09-11,8789.675,8914.579,8710.578,8828.992,214878720
2015-09-14,8864.277,8882.591,8239.158,8262.122,263399728
2015-09-15,8026.482,8215.708,7836.51,7852.021,251954176
2015-09-16,7927.188,8360.049,7889.281,8342.285,284050976
2015-09-17,8397.434,8638.959,8316.147,8317.183,339610944
2015-09-18,8375.894,8550.753,8314.713,8511.519,241176416
2015-09-21,8412.639,8942.464,8388.44,8936.418,349567136
2015-09-22,8986.104,9085.251,8868.967,8954.739,374650560
2015-09-23,8830.458,9012.353,8811.741,8926.526,283137568
2015-09-24,8961.223,9092.114,8943.627,9053.146,261458832
2015-09-25,9005.697,9076.003,8699.484,8773.834,294348864
2015-09-28,8791.55,9141.781,8718.576,9141.737,247573728
2015-09-29,9028.612,9162.153,8975.973,9028.963,233655200
2015-09-30,9121.892,9165.355,8942.767,9080.331,249867632
2015-10-08,9315.427,9565.905,9274.431,9467.752,319642208
2015-10-09,9451.723,9557.741,9402.435,9517.302,293825536
2015-10-12,9571.225,9970.46,9566.673,9866.823,357827616
2015-10-13,9804.652,10007.446,9777.266,10002.195,312821568
2015-10-14,9874.89,10053.709,9803.18,9839.622,374373280
2015-10-15,9734.648,10102.444,9734.648,10102.09,371360032
2015-10-16,10158.815,10258.738,9965.557,10147.305,413724352
2015-10-19,10175.461,10195.353,9889.921,10038.355,393468160
2015-10-20,10032.97,10347.762,9996.912,10322.658,405802560
2015-10-21,10330.156,10704.792,9862.054,9924.946,603035136
2015-10-22,10054.515,10694.22,10048.859,10694.22,610685312
2015-10-23,11161.914,11368.816,11134.0,11214.07,631022208
2015-10-26,11362.578,11362.578,10755.665,10973.365,704844544
2015-10-27,10834.512,11352.987,10498.789,11201.005,685856640
2015-10-28,11071.913,11133.842,10616.484,10680.258,543731328
2015-10-29,10774.738,10869.466,10577.203,10713.272,436251872
2015-10-30,10712.453,10859.273,10479.866,10614.209,453980992
2015-11-02,10320.006,10657.7,10264.425,10291.281,404232256
2015-11-03,10326.703,10401.978,10141.563,10215.073,337066496
2015-11-04,10306.329,10931.542,10306.329,10931.499,529789760
2015-11-05,10993.804,11058.98,10717.189,10826.12,562489152
2015-11-06,10836.246,11087.715,10836.246,11061.269,455485376
2015-11-09,10963.96,11341.477,10900.959,11264.69,550843328
2015-11-10,11224.815,11484.322,11160.463,11321.599,518914368
2015-11-11,11271.203,11637.239,11230.301,11636.542,513352128
2015-11-12,11749.806,11831.658,11474.505,11609.713,583268736
2015-11-13,11458.958,11458.958,11060.966,11106.782,422445024
2015-11-16,10872.96,11275.107,10847.196,11275.074,313548576
2015-11-17,11368.847,11437.275,11033.589,11069.292,485988736
2015-11-18,11052.783,11095.027,10743.596,10746.841,317416672
2015-11-19,10782.978,11019.142,10776.246,11019.142,248846816
2015-11-20,11016.707,11146.091,10995.47,11078.046,332677888
2015-11-23,11098.277,11286.998,10975.09,11019.897,370642208
2015-11-24,10977.17,11112.314,10882.918,11112.314,269835040
2015-11-25,11137.963,11620.674,11124.863,11595.642,550528832
2015-11-26,11660.183,11662.393,11329.097,11355.058,498214528
2015-11-27,11274.79,11274.79,10534.677,10623.199,467906880
2015-11-30,10643.294,10753.95,10176.597,10678.122,339333504
2015-12-01,10710.191,10855.042,10602.144,10728.521,261077056
2015-12-02,10712.206,10731.374,10222.893,10562.687,260452080
2015-12-03,10609.788,10802.455,10607.111,10800.574,241003808
2015-12-04,10788.89,10908.839,10650.699,10689.769,269788000
2015-12-07,10698.383,10841.415,10620.79,10840.991,248164656
2015-12-08,10764.733,10777.676,10515.569,10531.395,245808864
2015-12-09,10478.126,10533.269,10365.575,10443.839,225656128
2015-12-10,10435.961,10523.955,10394.529,10430.289,212115744
2015-12-11,10404.954,10432.247,10276.536,10292.886,181456368
2015-12-14,10213.159,10466.688,10175.613,10465.62,182247808
2015-12-15,10506.795,10671.944,10478.387,10596.9,275807776
2015-12-16,10603.879,10657.315,10569.721,10594.541,229313184
2015-12-17,10644.842,10831.295,10644.842,10831.215,329208896
2015-12-18,10835.176,10954.768,10762.515,10915.203,365208608
2015-12-21,10967.788,11123.152,10932.759,11027.372,396753888
2015-12-22,11014.558,11121.268,10929.228,11117.014,331164416
2015-12-23,11088.418,11110.311,10877.09,10887.392,331531264
2015-12-24,10859.04,10916.201,10705.619,10895.165,244747344
2015-12-25,10882.445,10967.679,10836.912,10906.514,231489712
2015-12-28,10928.379,11051.828,10652.787,10652.787,327300800
2015-12-29,10636.096,10720.137,10533.813,10720.137,265935776
2015-12-30,10742.248,10899.423,10711.767,10891.996,279872736
2015-12-31,10916.925,10932.139,10616.747,10617.295,260735424
2016-01-04,10611.978,10611.978,9699.681,9715.57,238909248
2016-01-05,9209.276,9753.053,9115.923,9443.608,349037568
2016-01-06,9512.546,9611.854,9348.742,9599.953,255170304
2016-01-07,9410.017,9410.017,8767.491,8782.276,69462016
2016-01-08,8974.161,9072.904,8389.343,8825.786,303816192
2016-01-11,8637.557,8764.03,8202.671,8205.001,292383744
2016-01-12,8219.783,8480.499,8164.718,8389.511,276220160
2016-01-13,8443.132,8484.741,8079.756,8080.642,241222752
2016-01-14,7842.879,8500.506,7827.168,8496.063,297496480
2016-01-15,8461.673,8556.558,8211.282,8302.663,297781536
2016-01-18,8188.97,8592.906,8188.97,8498.941,258570928
2016-01-19,8436.964,8777.922,8384.462,8764.143,303543328
2016-01-20,8714.483,8781.287,8548.516,8594.204,283771264
2016-01-21,8462.105,8696.355,8228.042,8230.643,263728576
2016-01-22,8349.308,8387.503,8027.217,8273.416,254048864
2016-01-25,8356.886,8419.403,8241.555,8325.58,197608048
2016-01-26,8230.111,8250.528,7702.549,7715.711,261372352
2016-01-27,7728.858,7757.167,7238.355,7618.528,279800768
2016-01-28,7506.77,7631.95,7294.083,7332.022,225703872
2016-01-29,7313.242,7702.735,7313.242,7640.488,224468512
2016-02-01,7598.68,7677.966,7461.736,7569.021,190026592
2016-02-02,7581.244,7883.748,7581.244,7848.854,220188528
2016-02-03,7746.792,7912.483,7684.861,7866.109,179965984
2016-02-04,7887.807,8068.527,7887.807,8032.866,221625472
2016-02-05,8050.608,8064.706,7951.805,7953.66,161184288
2016-02-15,7687.693,8005.733,7687.693,7957.74,161733856
2016-02-16,7992.435,8313.163,7992.435,8298.0,260482832
2016-02-17,8278.128,8351.007,8186.242,8351.007,260802240
2016-02-18,8397.499,8438.225,8280.421,8282.504,278258592
2016-02-19,8243.086,8373.855,8239.145,8349.981,248608928
2016-02-22,8490.667,8502.453,8402.511,8468.905,264013152
2016-02-23,8470.811,8484.203,8275.131,8415.764,268341312
2016-02-24,8457.439,8539.659,8302.516,8460.323,284867168
2016-02-25,8439.487,8441.249,7819.823,7834.527,296915488
2016-02-26,7818.211,7879.422,7554.015,7672.876,253653536
2016-02-29,7610.581,7620.515,7112.15,7149.833,242314656
2016-03-01,7159.584,7378.441,6999.472,7313.371,218871296
2016-03-02,7304.95,7648.793,7297.18,7635.862,257340240
2016-03-03,7624.989,7830.155,7586.89,7646.451,300119456
2016-03-04,7580.824,7635.685,7226.532,7291.69,273392192
2016-03-07,7366.372,7578.201,7366.372,7456.747,202652688
2016-03-08,7431.084,7559.351,7133.205,7558.839,250620384
2016-03-09,7399.928,7697.967,7341.618,7536.365,278591136
2016-03-10,7512.452,7595.953,7362.849,7373.555,207052608
2016-03-11,7299.666,7411.152,7259.966,7350.638,141362048
2016-03-14,7450.556,7746.2,7450.556,7656.823,257272448
2016-03-15,7661.219,7688.821,7570.789,7586.879,202550112
2016-03-16,7671.247,7700.836,7455.444,7506.569,197046224
2016-03-17,7537.225,7851.689,7537.225,7842.024,320567136
2016-03-18,7873.001,8198.256,7864.187,8138.227,427859168
2016-03-21,8220.775,8316.566,8197.969,8316.566,409282272
2016-03-22,8250.542,8423.743,8219.838,8340.708,348937536
2016-03-23,8328.784,8367.178,8234.598,8361.967,285234304
2016-03-24,8273.352,8347.789,8197.736,8197.736,299194752
2016-03-25,8200.378,8293.335,8157.725,8263.357,258667008
2016-03-28,8319.067,8404.721,8167.575,8189.786,313252736
2016-03-29,8134.054,8176.885,7922.761,7994.036,313600608
2016-03-30,8023.715,8331.926,8023.715,8331.926,341425728
2016-03-31,8361.053,8401.942,8258.376,8289.01,354100128
2016-04-01,8250.134,8270.623,8056.013,8191.348,288771584
2016-04-05,8195.426,8483.629,8191.175,8473.711,344900320
2016-04-06,8416.633,8518.232,8398.505,8517.977,346042880
2016-04-07,8595.032,8624.991,8380.983,8380.983,376820608
2016-04-08,8311.994,8353.915,8200.526,8316.071,294790176
2016-04-11,8402.869,8752.744,8402.869,8727.026,461076384
2016-04-12,8776.713,8847.577,8595.352,8717.363,510863552
2016-04-13,8731.063,8920.366,8703.37,8849.659,510469248
