date,open,high,low,close,volume
2015-08-13,2344.581,2433.537,2318.192,2433.385,1871225600
2015-08-14,2453.828,2480.086,2423.834,2431.844,2080751872
2015-08-17,2416.732,2452.91,2397.786,2450.123,1768394624
2015-08-18,2453.67,2471.097,2257.736,2262.723,2358977024
2015-08-19,2187.622,2341.027,2126.738,2327.69,2060522496
2015-08-20,2316.864,2399.314,2290.517,2290.517,2275813376
2015-08-21,2232.482,2259.318,2132.357,2135.451,1892439680
2015-08-24,2025.651,2041.478,1958.806,1959.959,1127482880
2015-08-25,1804.277,1845.261,1801.01,1803.702,1319558400
2015-08-26,1786.244,1845.915,1682.793,1693.63,2378969600
2015-08-27,1730.364,1752.933,1631.344,1747.888,2054448640
2015-08-28,1774.645,1867.202,1751.659,1867.19,2359238400
2015-08-31,1850.957,1851.087,1781.462,1790.079,1884013184
2015-09-01,1752.814,1752.814,1662.194,1674.85,1557995648
2015-09-02,1576.393,1718.571,1576.393,1622.946,1949448704
2015-09-07,1652.101,1710.289,1637.61,1650.659,1851046528
2015-09-08,1632.152,1742.267,1616.553,1739.174,1699385856
2015-09-09,1754.733,1831.072,1752.549,1816.136,2321537536
2015-09-10,1781.078,1818.584,1772.133,1775.775,1473010688
2015-09-11,1782.242,1834.82,1782.242,1811.83,1548054912
2015-09-14,1821.596,1823.207,1664.024,1670.167,1736003712
2015-09-15,1608.384,1656.864,1565.774,1569.231,1556287616
2015-09-16,1575.014,1687.861,1575.014,1684.897,1958812672
2015-09-17,1699.024,1767.907,1683.847,1684.447,2408634112
2015-09-18,1699.126,1724.19,1661.013,1712.669,1984692608
2015-09-21,1678.715,1798.278,1674.812,1797.24,2274844672
2015-09-22,1802.244,1827.096,1763.587,1797.295,2402484224
2015-09-23,1759.022,1820.849,1756.896,1790.002,2050747264
2015-09-24,1795.653,1826.126,1786.043,1805.036,2091082240
2015-09-25,1793.126,1804.708,1691.853,1703.872,1979895936
2015-09-28,1709.361,1780.815,1685.656,1779.212,1536338944
2015-09-29,1744.619,1772.48,1718.718,1739.167,1542293888
2015-09-30,1748.661,1763.353,1715.443,1742.964,1295561472
2015-10-08,1813.715,1858.399,1800.098,1845.148,2024122880
2015-10-09,1846.216,1893.293,1840.05,1881.505,2040041856
2015-10-12,1900.073,1997.605,1898.131,1964.413,2502180864
2015-10-13,1953.839,2008.107,1946.903,2000.388,2178383616
2015-10-14,1988.841,2008.077,1961.92,1968.926,2153188864
2015-10-15,1958.669,2056.547,1958.669,2055.609,2378689024
2015-10-16,2070.733,2083.676,2038.006,2081.799,2380649216
2015-10-19,2091.631,2095.076,2035.138,2063.084,2182918400
2015-10-20,2062.723,2158.417,2062.502,2152.539,2689409280
2015-10-21,2155.857,2158.027,1996.152,2001.499,3117685760
2015-10-22,1996.398,2082.975,1985.536,2076.485,2473847808
2015-10-23,2096.857,2141.377,2073.613,2131.6,2790090752
