date,open,high,low,close,volume
2015-08-13,2940.768,2958.685,2887.638,2948.656,70993664
2015-08-14,2967.344,2998.856,2951.046,2962.226,96115504
2015-08-17,2946.05,2977.774,2918.977,2968.835,87523656
2015-08-18,2975.312,2979.272,2800.26,2804.973,113027216
2015-08-19,2776.121,2870.071,2753.341,2861.012,92935448
2015-08-20,2841.749,2864.365,2776.833,2779.058,105812432
2015-08-21,2715.605,2729.909,2609.918,2616.029,99860560
2015-08-24,2525.809,2532.531,2401.491,2404.051,84633976
2015-08-25,2273.998,2439.696,2273.125,2314.715,120249264
2015-08-26,2317.484,2413.656,2283.355,2338.201,130909968
2015-08-27,2368.235,2441.822,2337.968,2441.316,126481200
2015-08-28,2448.851,2522.778,2414.518,2507.35,130551736
2015-08-31,2473.361,2480.807,2414.429,2467.225,98050784
2015-09-01,2437.048,2437.048,2345.652,2420.904,107715312
2015-09-02,2349.462,2440.338,2347.722,2436.028,117504128
2015-09-07,2423.388,2478.325,2362.536,2377.236,82407480
2015-09-08,2366.476,2436.218,2333.04,2433.937,66575688
2015-09-09,2433.63,2507.033,2433.331,2495.591,107020152
2015-09-10,2464.117,2497.976,2458.257,2467.194,82442352
2015-09-11,2453.733,2482.691,2439.182,2461.547,50371288
2015-09-14,2457.575,2472.235,2356.832,2383.249,86745280
2015-09-15,2350.605,2396.375,2320.553,2340.04,65895088
2015-09-16,2335.017,2475.096,2334.301,2448.732,65631856
2015-09-17,2426.078,2453.117,2385.874,2386.279,71321240
2015-09-18,2399.682,2411.291,2373.132,2390.545,43595576
2015-09-21,2369.4,2442.777,2363.642,2438.686,61106584
2015-09-22,2443.977,2472.309,2433.564,2461.408,69257832
2015-09-23,2425.504,2438.801,2396.074,2403.241,54452868
2015-09-24,2413.459,2433.311,2406.898,2428.942,43868600
2015-09-25,2431.061,2447.683,2384.928,2400.978,51246256
2015-09-28,2393.075,2399.636,2364.29,2399.336,32863644
2015-09-29,2370.911,2425.869,2365.85,2389.479,42881452
2015-09-30,2387.901,2416.29,2387.901,2407.379,33229542
2015-10-08,2474.472,2504.763,2474.472,2479.155,63921032
2015-10-09,2482.983,2502.026,2470.084,2495.514,52357684
2015-10-12,2502.906,2583.555,2500.436,2564.985,94985104
2015-10-13,2555.259,2574.597,2547.99,2567.354,64668848
2015-10-14,2563.64,2574.165,2543.491,2545.284,59473984
2015-10-15,2545.773,2583.713,2540.882,2583.481,68009112
2015-10-16,2594.813,2599.031,2568.803,2592.25,78207328
2015-10-19,2603.937,2606.123,2572.648,2584.069,77245192
2015-10-20,2582.773,2604.239,2568.382,2603.897,75309512
2015-10-21,2600.991,2609.156,2498.557,2511.917,89886544
2015-10-22,2517.104,2549.643,2508.26,2549.474,56615388
2015-10-23,2560.234,2656.086,2560.234,2632.529,105338080
2015-10-26,2642.117,2666.875,2611.477,2653.053,91517088
2015-10-27,2643.455,2644.499,2584.256,2642.753,72612424
2015-10-28,2634.093,2662.037,2623.318,2627.897,84505576
2015-10-29,2630.687,2684.038,2630.687,2670.299,83246016
2015-10-30,2663.836,2704.406,2648.973,2677.6,75340448
2015-11-02,2652.162,2710.458,2626.866,2669.5,197686928
2015-11-03,2678.199,2698.914,2648.524,2660.398,132013712
2015-11-04,2667.643,2785.0,2667.643,2778.995,181206464
2015-11-05,2774.494,2851.017,2770.684,2819.556,202310256
2015-11-06,2815.886,2846.517,2809.196,2843.428,160109520
2015-11-09,2848.964,2871.407,2818.033,2854.242,183628512
2015-11-10,2830.598,2861.07,2808.781,2842.17,131876448
2015-11-11,2837.436,2842.674,2812.052,2838.766,132756840
2015-11-12,2836.75,2841.261,2805.357,2819.128,118521416
2015-11-13,2794.856,2811.401,2750.921,2760.477,128784864
2015-11-16,2721.379,2784.658,2717.289,2783.805,97053016
2015-11-17,2802.034,2827.252,2778.164,2800.701,134708208
2015-11-18,2801.757,2803.979,2774.224,2776.958,100410384
2015-11-19,2778.718,2799.746,2769.15,2799.664,72824704
2015-11-20,2799.283,2802.853,2775.79,2795.337,85030152
2015-11-23,2790.074,2807.972,2764.183,2773.078,98686296
2015-11-24,2771.86,2774.835,2733.965,2760.572,71416976
2015-11-25,2761.314,2787.299,2755.942,2787.299,94200056
2015-11-26,2790.556,2792.438,2755.938,2760.359,96522144
2015-11-27,2750.319,2750.319,2624.661,2639.181,108718736
2015-11-30,2644.171,2658.286,2577.372,2655.68,94000488
2015-12-01,2654.509,2703.021,2638.595,2701.486,87225120
2015-12-02,2691.981,2803.387,2685.273,2791.828,129896080
2015-12-03,2776.099,2800.831,2766.783,2795.422,104436376
2015-12-04,2779.466,2780.038,2739.583,2758.61,80551472
2015-12-07,2762.581,2775.079,2739.051,2758.951,95014032
2015-12-08,2749.143,2749.143,2681.251,2683.954,69917096
2015-12-09,2674.038,2704.65,2670.586,2686.312,56153664
2015-12-10,2684.983,2709.269,2662.816,2668.747,69220560
2015-12-11,2663.793,2680.103,2645.515,2672.773,69290240
2015-12-14,2656.206,2732.779,2650.909,2729.439,100469576
2015-12-15,2726.561,2752.136,2724.84,2751.622,106759896
2015-12-16,2751.3,2756.099,2727.156,2729.525,90932640
2015-12-17,2745.657,2789.428,2745.657,2780.068,111513448
2015-12-18,2777.796,2855.008,2773.83,2842.101,150724416
2015-12-21,2833.957,3054.129,2828.446,3027.784,315327584
2015-12-22,3031.068,3041.179,2965.691,3005.899,219026992
