date,open,high,low,close,volume
2015-08-13,1896.552,1937.682,1869.472,1936.224,1573807872
2015-08-14,1948.22,1978.853,1927.249,1947.832,1875849088
2015-08-17,1928.081,1978.143,1910.365,1975.87,1709217152
2015-08-18,1973.293,1974.563,1809.749,1814.98,1903841408
2015-08-19,1751.965,1855.37,1698.099,1840.924,1599907968
2015-08-20,1807.375,1845.232,1770.294,1770.537,1323435776
2015-08-21,1733.044,1763.125,1672.036,1681.53,1197059712
2015-08-24,1607.604,1620.511,1531.38,1531.38,868965312
2015-08-25,1402.256,1435.337,1396.232,1396.232,896559552
2015-08-26,1387.969,1439.098,1307.976,1330.441,1489627648
2015-08-27,1360.482,1389.908,1302.723,1389.297,1137385216
2015-08-28,1410.76,1478.198,1398.084,1477.888,1355484416
2015-08-31,1470.963,1470.963,1411.169,1466.578,1263430144
2015-09-01,1440.105,1460.508,1385.085,1453.705,1289366912
2015-09-02,1379.611,1462.37,1374.386,1402.448,1188716800
2015-09-07,1406.368,1449.49,1383.555,1394.452,1006391424
2015-09-08,1381.769,1437.483,1358.869,1430.396,803506688
2015-09-09,1435.688,1479.383,1430.105,1478.018,1138499200
2015-09-10,1450.663,1490.793,1442.989,1453.702,914030976
2015-09-11,1447.338,1463.284,1421.98,1443.362,619588160
2015-09-14,1455.699,1459.833,1339.841,1368.512,1003748800
2015-09-15,1333.957,1376.888,1293.993,1301.345,853988544
2015-09-16,1308.095,1402.671,1299.427,1390.739,908383104
2015-09-17,1382.766,1416.925,1354.515,1354.751,1050307008
2015-09-18,1358.914,1374.689,1345.324,1366.327,654704000
2015-09-21,1353.065,1404.915,1347.586,1400.602,823978176
2015-09-22,1404.133,1441.183,1398.325,1424.601,1039355264
2015-09-23,1399.187,1403.74,1369.273,1375.43,888508224
2015-09-24,1381.152,1414.121,1381.152,1405.306,853852800
2015-09-25,1397.428,1405.181,1353.319,1378.424,926696192
2015-09-28,1379.55,1386.476,1352.692,1383.994,575418816
2015-09-29,1358.488,1361.365,1329.708,1335.243,599951104
2015-09-30,1342.264,1350.784,1336.517,1340.876,407059040
2015-10-08,1391.751,1394.783,1377.624,1385.994,734762304
2015-10-09,1383.886,1414.638,1378.527,1413.834,888589312
2015-10-12,1420.992,1479.53,1416.128,1471.082,1406421120
2015-10-13,1457.59,1474.696,1452.111,1470.247,1008511744
2015-10-14,1464.68,1502.336,1462.527,1470.8,1187341056
2015-10-15,1471.085,1516.222,1471.085,1515.86,1349191040
2015-10-16,1525.943,1540.542,1505.847,1540.118,1596976000
2015-10-19,1541.299,1555.731,1524.882,1543.382,1593304064
2015-10-20,1542.879,1557.86,1524.11,1557.841,1370007680
2015-10-21,1550.812,1555.809,1441.36,1452.005,1703343232
2015-10-22,1446.675,1498.278,1435.231,1495.969,1266577792
2015-10-23,1497.533,1531.052,1490.003,1523.234,1414667904
2015-10-26,1540.364,1540.886,1510.661,1524.158,1191336576
2015-10-27,1514.297,1514.402,1456.545,1507.059,1022301056
2015-10-28,1494.898,1511.147,1478.685,1483.843,916719424
2015-10-29,1490.149,1505.891,1483.298,1491.886,771454400
2015-10-30,1487.283,1488.991,1458.954,1471.929,753290624
2015-11-02,1451.175,1473.356,1445.104,1445.789,673600064
2015-11-03,1449.759,1459.904,1441.388,1448.324,553200576
2015-11-04,1452.557,1518.617,1452.557,1518.33,1065253696
2015-11-05,1516.763,1582.532,1511.193,1551.428,1787603456
2015-11-06,1544.648,1577.605,1541.305,1576.663,1383566720
2015-11-09,1559.333,1613.12,1558.207,1598.5,1689610368
2015-11-10,1581.103,1631.697,1575.476,1623.551,1583954304
2015-11-11,1624.431,1639.212,1607.206,1622.335,1190851072
2015-11-12,1624.013,1632.878,1595.26,1611.277,1149779584
2015-11-13,1590.509,1602.411,1566.707,1568.923,988268096
2015-11-16,1539.698,1586.851,1538.742,1586.624,760375232
2015-11-17,1591.552,1634.702,1590.539,1598.017,1328492672
2015-11-18,1593.599,1602.1,1568.409,1573.251,835288448
2015-11-19,1576.541,1594.833,1566.312,1594.737,704645888
2015-11-20,1596.163,1609.193,1589.654,1600.75,923164160
2015-11-23,1599.993,1612.686,1575.387,1580.967,933996928
2015-11-24,1578.962,1578.962,1549.776,1576.989,678690624
2015-11-25,1571.283,1592.709,1569.151,1592.709,723542144
2015-11-26,1597.249,1635.659,1597.249,1611.292,1163980416
2015-11-27,1603.206,1608.706,1489.065,1496.635,1192303616
2015-11-30,1497.82,1514.018,1431.761,1501.511,875497856
2015-12-01,1499.939,1524.023,1489.157,1519.077,721871808
2015-12-02,1518.186,1537.542,1494.279,1537.542,829081920
2015-12-03,1534.694,1565.211,1530.301,1557.927,778562560
2015-12-04,1551.861,1564.938,1526.692,1537.133,821690816
2015-12-07,1537.67,1541.012,1525.35,1537.322,599544576
2015-12-08,1522.287,1522.287,1479.569,1481.361,641231488
2015-12-09,1477.97,1492.938,1471.085,1479.189,465716800
2015-12-10,1478.177,1498.577,1476.158,1476.469,509303232
2015-12-11,1473.642,1478.413,1446.139,1466.393,515200736
2015-12-14,1455.234,1523.472,1450.964,1523.03,682310272
2015-12-15,1517.038,1521.028,1500.749,1507.188,535967296
2015-12-16,1512.202,1531.878,1508.504,1514.769,511905728
2015-12-17,1520.49,1552.952,1519.781,1546.276,720466688
2015-12-18,1540.039,1556.22,1535.312,1555.099,741434240
2015-12-21,1550.574,1591.687,1548.436,1584.177,914402560
2015-12-22,1583.82,1604.142,1580.923,1595.933,811553792
2015-12-23,1593.596,1599.187,1571.589,1576.104,821181632
2015-12-24,1573.311,1580.282,1538.637,1560.493,610054144
2015-12-25,1556.689,1570.228,1550.956,1570.228,502158848
2015-12-28,1569.78,1573.303,1521.913,1521.913,660677248
2015-12-29,1519.695,1546.11,1510.943,1545.548,543062464
2015-12-30,1546.376,1552.865,1536.718,1551.336,432927136
2015-12-31,1550.223,1566.157,1535.589,1536.326,481515040
2016-01-04,1532.732,1537.177,1421.234,1421.768,548095232
2016-01-05,1382.699,1446.013,1376.179,1436.377,711815872
2016-01-06,1438.002,1563.368,1435.991,1563.289,1421987968
2016-01-07,1561.31,1568.485,1454.17,1454.526,724909568
2016-01-08,1510.28,1580.987,1479.073,1573.342,1833454464
2016-01-11,1566.026,1577.202,1479.134,1483.954,1987382784
2016-01-12,1450.96,1476.213,1394.552,1450.87,1190461952
2016-01-13,1441.284,1508.894,1425.249,1425.249,1168521344
2016-01-14,1364.107,1496.279,1346.532,1472.653,1195986048
2016-01-15,1447.802,1462.895,1375.136,1391.866,1048054208
2016-01-18,1357.799,1385.722,1333.936,1361.292,752842304
2016-01-19,1359.525,1402.402,1354.724,1401.112,823189056
2016-01-20,1390.604,1396.796,1357.625,1374.072,776522880
2016-01-21,1358.719,1410.768,1347.191,1348.034,876571840
2016-01-22,1385.125,1417.824,1365.344,1395.827,930465216
2016-01-25,1422.823,1462.307,1412.588,1442.912,1174553344
2016-01-26,1414.818,1418.42,1330.142,1333.072,864720000
2016-01-27,1340.586,1379.538,1311.975,1366.601,1021595008
2016-01-28,1346.39,1372.482,1305.476,1305.947,719940864
2016-01-29,1300.266,1347.605,1281.351,1336.721,666051712
2016-02-01,1335.298,1340.948,1255.48,1277.993,709463424
2016-02-02,1275.386,1303.337,1274.433,1303.337,535258912
2016-02-03,1281.921,1284.844,1255.808,1280.402,530189632
2016-02-04,1289.937,1308.008,1286.421,1296.212,536495456
2016-02-05,1296.589,1305.853,1291.174,1294.34,418722368
2016-02-15,1257.513,1306.324,1255.835,1297.538,491659328
2016-02-16,1298.942,1350.861,1298.319,1343.334,852047360
2016-02-17,1333.806,1364.611,1331.108,1357.996,897434560
2016-02-18,1361.765,1407.127,1359.907,1363.381,969480000
2016-02-19,1353.611,1374.174,1351.161,1358.48,634158528
2016-02-22,1373.007,1450.307,1368.638,1418.142,1365444352
2016-02-23,1410.074,1435.995,1400.201,1435.795,1140107648
2016-02-24,1419.682,1444.688,1411.53,1437.238,896682624
2016-02-25,1430.609,1435.984,1323.576,1333.407,1069188480
2016-02-26,1348.121,1406.867,1329.056,1395.527,1007872896
2016-02-29,1379.822,1425.886,1313.351,1382.876,1177627392
2016-03-01,1377.459,1432.422,1364.133,1411.651,1027230912
2016-03-02,1398.327,1489.072,1396.813,1488.949,1327859584
